category_id,produce_id,variety_id,variety_name
1,1,1,Dwarf-Cavendish
1,1,2,Karpuravalli
1,1,3,Kadali
1,1,4,Monthan
1,1,5,Nendran
1,1,6,Ney-Poovan
1,1,7,Pachanandan
1,1,8,Palayam-Kodan
1,1,9,Poovan
1,1,10,Rathali
1,1,11,Red-Banana
1,1,12,Robusta
1,1,13,Safed-Velchi-Musa
1,1,14,Virupakashi
1,2,15,Red-Delicious-Apple
1,2,16,Golden-Delicious
1,2,17,McIntosh
1,2,18,Chaubattia-Anupam
1,2,19,Lal-Ambri
1,2,20,Fuji
1,2,21,Royal-Gala
1,2,22,Granny-Smith
1,2,23,Pink-Lady
1,3,24,Allahabad-Safeda
1,3,25,Arka-Mridula
1,3,26,Banarasi
1,3,27,Chittidar
1,3,28,Harijha
1,3,29,Sardar
1,3,30,Red-Fleshed
1,3,31,Habshi
1,3,32,Seedless
1,3,33,Apple-Guava
1,3,34,Allahabad-Surkha
1,4,35,Giant-Kew
1,4,36,Kew
1,4,37,Charlotte-Rothschild
1,4,38,Queen
1,4,39,Mauritius
1,4,40,Jaldhup-and-Lakhat
1,4,41,Red-Spanish
1,5,42,Italia
1,5,43,ThomPson-seedless
1,5,44,ThomPson-seedless
1,5,45,Sharad-Seedless
1,5,46,Anab-e-shahi
1,5,47,Dilkhush
1,5,48,Crimson-seedless
1,5,49,Sonaka
1,5,50,Flame-seedless
1,5,51,Perlette
1,5,52,Bangalore-Blue
1,5,53,Red-Globes
1,6,54,Pummelos
1,6,55,Sunkist-Grapefruit
1,6,56,Oroblancos-and-Melogolds
1,6,57,California-and-Arizona-Va
1,7,58,Zhong-Hua
1,7,59,Jing-Li
1,7,60,Ruan-Zhao
1,7,61,Mao-Hua
1,7,62,Huang-Yan
1,7,63,Abbott
1,7,64,Allison
1,8,65,Jonnavalasa
1,8,66,Murabba
1,8,67,Kalipatti
1,8,68,Dwarapudi
1,9,69,Berna
1,9,70,Blood-or-Maltese
1,9,71,Persian-Orange
1,9,72,Navel-Orange
1,9,73,Valencia-Orange
1,10,74,Fleishman
1,10,75,Balegal
1,10,76,Crab-
1,10,77,Granada
1,10,78,Green-Globe
1,10,79,Early-Wonderful
1,10,80,King
1,11,81,Moon-and-Stars-Water-Melo
1,11,82,Yellow-Water-Melon
1,11,83,Orangeglo-Water-Melon
1,11,84,Cream-of-Saskatchewan-Wat
1,11,85,Melitopolski
1,11,86,Densuke-Watermelon
1,12,87,Coorg-Honey-Dew-
1,12,88,Pusa-Dwarf
1,12,89,Pusa-Giant
1,12,90,Pusa-Majesty
1,12,91,Pusa-Delicious
1,12,92,Ranchi-
1,12,93,Washington-
1,13,94,European-Type
1,13,95,Japanese-Type
1,13,96,Damson
1,14,97,Chandler
1,14,98,Tioga
1,14,99,Torrey
1,14,100,Selva
1,14,101,Belrubi
1,14,102,Fern
1,14,103,Pajaro
1,15,104,Amity-Raspberries
1,15,105,Latham-Raspberries
1,15,106,Meeker-Raspberries
1,15,107,Willamette-Raspberries
1,15,108,Fall-Gold-Raspberries
1,15,109,Brandywine-Raspberries
1,15,110,Black-Hawk-Raspberries
1,16,111,Brigitta
1,16,112,Chandler
1,16,113,Earliblue
1,16,114,Top-Hat
1,17,115,Ram-or-Raja-Jamun
1,17,116,Seedless-Jamun
1,18,117,Ben-Sarek
1,18,118,Ben-Lomond
1,18,119,Ben-Hope
1,18,120,Ben-Connan
1,19,121,Jonkheer-van-Tets
1,19,122,Perfection
1,19,123,Red-Lake
1,19,124,Wilder
1,172,125,Koozha-chakka
1,172,126,Varika
1,174,127,Alphonso
1,174,128,Banganapalli
1,174,129,Saroli-or-Bombay-Green
1,174,130,Chaunsa
1,174,131,Dashehari
1,174,132,Fazli
1,174,133,Himsagar
1,174,134,Kesar
1,174,135,Kishenbhog
1,174,136,Langra
1,174,137,Mankurad
1,174,138,Neelam
1,174,139,Pairi
1,174,140,Totapuri
1,174,141,Mallika
1,175,142,Assam-Sweet-Lemon
1,175,143,Italian-Sweet-Lemon
1,175,144,Eureka-Sweet-Lemon
1,175,145,Sevilla-Sweet-Lemon
1,175,146,Malta-Sweet-Lemon
1,175,147,Kari-Sweet-Lemon
1,176,148,Souey-Tung
1,176,149,Wai-Chee
1,176,150,Kaimana
1,176,151,Salathiel
1,176,152,Tai-So
1,176,153,Fay-Zee-Siu
1,176,154,Bengal
1,176,155,Kwai-May-Pink
1,177,156,Brooks-Cherry
1,177,157,Bing-Cherry
1,177,158,Van-Cherry
1,177,159,Sandra-Rose-Cherry
1,177,160,Lapin-Cherry
1,177,161,Rainier-Cherry
1,177,162,Tartarian-Cherry
1,177,163,Utah-Giant-Cherry
1,178,164,Umran
1,178,165,Gola
1,178,166,Kaithli
1,178,167,Kheera
1,178,168,Dandan
1,178,169,Seo-Ber
2,20,170,Ratna
2,20,171,Jyothi
2,20,172,Azad-
2,20,173,Vijaya
2,20,174,Amber
2,20,175,Clipper
2,22,176,Type-27
2,22,177,Type-56
2,22,178,Pusa-1
2,22,179,Khargone
2,23,180,Sanilac
2,23,181,Robust
2,23,182,Rainy-River
2,23,183,Michelite
2,24,184,White-Fonio
2,24,185,Black-Fonio
2,24,186,Raishan
2,26,187,Indian-Chickpea
2,26,188,Kabuli-
2,27,189,Makata-Bambara
2,27,190,Malagasy-Bambara
2,29,191,Pusa-Gold
2,29,192,Pusa-Gautami
2,29,193,Urja
2,29,194,Shresti
2,29,195,Vidisha
2,29,196,Pusa-Vishesh
2,30,197,Pearl-Millet
2,30,198,Finger-Millet
2,30,199,Foxtail
2,30,200,Kodo
2,30,201,Little-Millets
2,30,202,Barnyard
2,30,203,Sorghum
2,31,204,Jawhara
2,31,205,Narendran
